playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8482133,2023,Thomas Bordeleau,SJS,C,other,24,958.0,15.0,7.6,0.41,0.32,0.71,0.35,0.67,0.36,92.0,2.28,0.29,0.22,0.41,0.07,1.39,0.61,0.28,0.29,0.28,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.06,0.24,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.07,0.0,0.0,0.36,0.36,0.34,15.0,9.0,0.0,1.0,5.0,0.0,3.0,4.0,8.0,2.0,5.0,2010.0,0.0,0.0,0.0,0.0,14.0,3.08,2.55,3.08,2.55,11.0,7.0,7.0,25.0,1.0,2.0,0.0,6.0,8.0,4.0,0.31,1.02,1.74,1.0,0.0,0.0,25.0,18.0,18.0,0.39,1.05,1.05,2.42,2.42,2.17,5.96,4.36,4.36,4.36,4.36,7.0,2.0,1.0,10.0,5.0,0.0,0.0,2.0,1.0,6.0,0.07,0.16,4.13,0.0,0.0,5.0,10.0,9.0,9.0,0.06,0.0,0.0,4.42,4.42,4.42,2.68,5.59,31.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
8482133,2023,Thomas Bordeleau,SJS,C,all,24,21612.0,426.0,7.59,0.53,0.33,0.54,0.4,0.55,0.39,165.0,48.14,5.48,3.98,11.14,1.82,26.94,17.65,5.17,5.46,5.15,2.0,2.0,42.0,25.0,12.0,79.0,10.0,6.0,6.0,0.0,10.0,0.0,23.0,22.0,36.0,61.0,8.0,16.0,61.0,12.0,9.0,4.0,39.0,22.0,6.0,1.3,2.6,1.58,1.0,3.0,2.0,78.39,67.0,66.14,1.0,0.9,1.24,0.91,5.46,5.42,5.19,426.0,74.0,50.0,67.0,235.0,38.0,56.0,73.0,259.0,61.0,52.0,65520.0,16.0,12.0,6.0,17.0,212.44,21.75,20.23,21.54,20.02,177.0,114.0,102.0,393.0,16.0,21.0,1.0,196.0,72.0,23.0,5.39,8.88,7.47,5.0,7.0,4.0,386.6,291.0,286.32,3.55,4.54,4.54,20.77,20.53,19.72,172.44,19.47,18.73,19.84,19.08,176.0,63.0,93.0,332.0,22.0,18.0,2.0,173.0,42.0,24.0,5.38,4.92,9.17,8.0,9.0,5.0,342.8,239.0,244.47,2.34,4.18,4.18,17.63,17.95,17.67,36.75,75.05,878.0,1332.0,0.0,0.0,0.0,0.0,0.0,0.0
8482133,2023,Thomas Bordeleau,SJS,C,5on5,24,16658.0,361.0,7.59,0.43,0.39,0.48,0.44,0.48,0.44,178.0,36.31,3.49,2.72,9.11,1.32,19.27,14.1,3.33,3.47,3.31,1.0,0.0,32.0,18.0,10.0,60.0,3.0,2.0,4.0,0.0,8.0,0.0,18.0,18.0,30.0,48.0,6.0,12.0,37.0,10.0,7.0,3.0,34.0,14.0,2.0,1.19,1.73,0.57,1.0,1.0,0.0,59.39,50.0,49.14,1.0,0.57,0.64,0.91,3.14,3.1,3.05,361.0,30.0,48.0,61.0,222.0,34.0,50.0,55.0,222.0,37.0,28.0,53404.0,12.0,12.0,6.0,17.0,140.61,10.25,9.89,10.03,9.68,115.0,78.0,74.0,267.0,4.0,14.0,0.0,148.0,39.0,6.0,3.82,4.83,1.6,2.0,2.0,0.0,260.6,193.0,188.32,1.84,2.14,2.14,9.94,9.71,9.51,149.02,13.61,12.93,13.98,13.27,148.0,58.0,89.0,295.0,16.0,17.0,1.0,153.0,37.0,16.0,4.81,4.19,4.6,8.0,8.0,0.0,305.8,206.0,211.47,2.05,4.01,4.01,11.65,11.97,11.74,28.89,46.06,759.0,964.0,0.37,0.96,11.0,11.0,8.0,10.0
8482133,2023,Thomas Bordeleau,SJS,C,4on5,24,4.0,1.0,0.28,0.0,0.07,0.0,0.04,0.0,0.05,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.26,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
8482133,2023,Thomas Bordeleau,SJS,C,5on4,24,3992.0,49.0,8.56,0.86,0.74,0.8,0.71,0.79,0.64,82.0,9.54,1.7,1.04,1.62,0.43,6.28,2.94,1.56,1.7,1.56,1.0,2.0,9.0,5.0,2.0,16.0,7.0,4.0,2.0,0.0,1.0,0.0,3.0,4.0,5.0,10.0,1.0,2.0,22.0,1.0,2.0,1.0,4.0,6.0,4.0,0.06,0.64,1.0,0.0,2.0,2.0,16.0,14.0,14.0,0.0,0.26,0.6,0.0,1.96,1.96,1.8,49.0,34.0,2.0,5.0,8.0,4.0,3.0,13.0,29.0,22.0,0.0,2700.0,2.0,0.0,0.0,0.0,56.36,8.38,7.74,8.38,7.74,50.0,28.0,21.0,99.0,11.0,5.0,1.0,40.0,25.0,13.0,1.22,3.03,4.13,2.0,5.0,4.0,99.0,78.0,78.0,1.31,1.35,1.35,8.34,8.34,7.98,15.22,1.31,1.25,1.31,1.25,19.0,2.0,3.0,24.0,1.0,1.0,1.0,16.0,3.0,2.0,0.43,0.45,0.44,0.0,1.0,0.0,24.0,21.0,21.0,0.18,0.17,0.17,1.33,1.33,1.27,4.19,1.46,56.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2023,Ilya Lyubushkin,TOR,D,other,71,2881.0,56.0,5.08,0.37,0.45,0.28,0.51,0.31,0.48,179.0,1.38,0.24,0.11,0.32,0.07,0.87,0.39,0.23,0.24,0.23,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.03,0.0,0.21,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.03,0.46,0.21,0.06,0.06,0.06,56.0,5.0,20.0,8.0,23.0,4.0,17.0,12.0,23.0,0.0,0.0,7697.0,0.0,2.0,1.0,10.0,22.73,6.02,5.5,6.02,5.5,21.0,10.0,6.0,37.0,5.0,3.0,1.0,19.0,2.0,10.0,0.77,0.17,5.08,1.0,0.0,4.0,37.0,31.0,31.0,0.38,1.14,1.14,5.26,5.26,4.79,52.18,10.07,7.26,10.07,7.26,46.0,22.0,28.0,96.0,8.0,9.0,1.0,32.0,20.0,16.0,1.24,2.52,6.31,0.0,4.0,4.0,96.0,68.0,68.0,1.21,2.53,2.53,8.75,8.75,6.64,18.0,21.61,195.0,191.0,0.11,0.02,3.0,1.0,3.0,1.0
8480950,2023,Ilya Lyubushkin,TOR,D,all,71,72757.0,1635.0,5.15,0.37,0.51,0.38,0.5,0.39,0.5,316.0,50.84,2.68,2.66,14.09,1.92,27.43,22.22,2.59,2.64,2.55,4.0,4.0,46.0,25.0,31.0,102.0,8.0,0.0,3.0,0.0,8.0,0.0,23.0,37.0,46.0,71.0,21.0,45.0,0.0,164.0,23.0,39.0,64.0,5.0,2.0,1.41,0.67,0.61,0.0,0.0,0.0,101.06,71.0,69.89,32.0,0.56,0.7,0.78,2.45,2.44,2.41,1635.0,138.0,273.0,263.0,961.0,168.0,250.0,197.0,1020.0,0.0,0.0,185295.0,45.0,23.0,10.0,165.0,505.41,46.39,44.27,45.86,43.77,508.0,182.0,221.0,911.0,41.0,47.0,7.0,528.0,114.0,48.0,14.92,15.1,16.37,10.0,18.0,13.0,898.72,690.0,680.11,6.74,10.71,11.07,42.06,41.58,40.51,804.64,79.76,73.92,80.39,74.55,763.0,337.0,417.0,1517.0,81.0,90.0,11.0,792.0,217.0,91.0,21.56,27.08,31.11,23.0,31.0,27.0,1532.04,1100.0,1110.0,13.42,17.46,17.46,75.72,76.42,72.48,167.33,163.53,3073.0,3015.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2023,Ilya Lyubushkin,TOR,D,5on5,71,59107.0,1320.0,5.15,0.46,0.5,0.45,0.5,0.46,0.5,332.0,46.68,2.38,2.37,12.85,1.72,25.4,20.29,2.3,2.34,2.27,4.0,4.0,40.0,25.0,29.0,94.0,8.0,0.0,2.0,0.0,8.0,0.0,21.0,34.0,40.0,65.0,19.0,41.0,0.0,146.0,20.0,35.0,59.0,5.0,1.0,1.31,0.67,0.4,0.0,0.0,0.0,93.06,65.0,63.89,28.0,0.48,0.24,0.57,2.28,2.27,2.24,1320.0,129.0,130.0,234.0,827.0,153.0,186.0,144.0,837.0,0.0,0.0,141536.0,41.0,15.0,6.0,103.0,462.52,38.9,37.31,38.38,36.81,465.0,168.0,210.0,843.0,35.0,44.0,6.0,489.0,108.0,36.0,13.81,14.5,10.59,9.0,18.0,8.0,830.72,633.0,623.11,6.12,9.57,9.93,35.09,34.61,34.02,534.27,45.12,43.57,45.75,44.19,507.0,225.0,279.0,1011.0,45.0,55.0,7.0,551.0,132.0,49.0,15.13,16.76,13.23,17.0,17.0,11.0,1026.04,732.0,742.0,7.28,10.09,10.09,42.3,43.0,42.28,102.91,101.11,2207.0,2228.0,6.12,0.64,132.0,11.0,102.0,8.0
8480950,2023,Ilya Lyubushkin,TOR,D,4on5,71,10672.0,247.0,4.1,0.06,0.14,0.06,0.13,0.08,0.15,195.0,1.96,0.05,0.12,0.54,0.1,0.84,1.35,0.05,0.05,0.05,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,4.0,0.0,17.0,3.0,4.0,3.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,0.03,0.0,0.0,0.08,0.08,0.07,247.0,1.0,123.0,21.0,102.0,9.0,46.0,40.0,152.0,0.0,0.0,14426.0,4.0,0.0,0.0,0.0,19.34,1.45,1.45,1.45,1.45,21.0,4.0,2.0,27.0,1.0,0.0,0.0,19.0,4.0,2.0,0.32,0.43,0.7,0.0,0.0,1.0,27.0,25.0,25.0,0.22,0.0,0.0,1.68,1.68,1.67,217.35,24.5,23.04,24.5,23.04,210.0,89.0,110.0,409.0,28.0,26.0,3.0,208.0,65.0,26.0,5.12,7.8,11.58,6.0,10.0,12.0,409.0,299.0,299.0,4.92,4.83,4.83,24.59,24.59,23.48,4.28,25.98,68.0,452.0,0.11,0.0,4.0,0.0,3.0,0.0
8480950,2023,Ilya Lyubushkin,TOR,D,5on4,71,97.0,12.0,2.9,1.0,0.75,1.0,0.83,1.0,0.82,41.0,0.83,0.02,0.06,0.38,0.03,0.33,0.19,0.02,0.02,0.02,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.02,0.0,0.0,0.04,0.04,0.04,12.0,3.0,0.0,0.0,9.0,2.0,1.0,1.0,8.0,0.0,0.0,3229.0,0.0,0.0,0.0,6.0,0.83,0.02,0.02,0.02,0.02,1.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.02,0.0,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,1.35,86.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
